age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital,hours-per-week,region,income
18-24,Federal-gov,10,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,0,40,United-States,<=50K
61-70,Self-emp-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,40,United-States,<=50K
25-30,Private,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,40,United-States,<=50K
31-40,Private,13,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,3411,47,United-States,<=50K
31-40,Private,9,Married-civ-spouse,Sales,Wife,White,Female,0,30,United-States,<=50K
41-50,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,65,United-States,>50K
51-60,Private,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,40,United-States,<=50K
18-24,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,40,United-States,<=50K
31-40,Self-emp-not-inc,10,Married-civ-spouse,Other-service,Husband,White,Male,0,60,United-States,<=50K
31-40,Self-emp-inc,12,Married-civ-spouse,Sales,Husband,White,Male,-1887,40,United-States,>50K
41-50,Local-gov,13,Divorced,Prof-specialty,Unmarried,White,Female,0,50,United-States,<=50K
71+,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,-2392,60,United-States,>50K
51-60,Private,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,50,United-States,<=50K
25-30,Private,8,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,40,United-States,<=50K
51-60,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,42,United-States,>50K
51-60,Private,3,Widowed,Machine-op-inspct,Unmarried,White,Female,0,40,United-States,<=50K
61-70,Federal-gov,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,40,United-States,<=50K
51-60,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,40,United-States,>50K
41-50,Private,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,50,United-States,<=50K
31-40,Local-gov,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,45,United-States,<=50K
41-50,Local-gov,14,Never-married,Prof-specialty,Not-in-family,Black,Female,-2258,35,United-States,<=50K
51-60,Private,13,Divorced,Sales,Not-in-family,White,Female,0,8,United-States,<=50K
41-50,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,48,United-States,>50K
25-30,Private,13,Never-married,Exec-managerial,Own-child,White,Female,0,45,United-States,<=50K
51-60,Private,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,40,United-States,<=50K
18-24,Private,9,Never-married,Other-service,Not-in-family,White,Male,0,40,United-States,<=50K
31-40,Private,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,45,United-States,>50K
41-50,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,40,United-States,<=50K
31-40,State-gov,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,80,United-States,<=50K
0-17,Local-gov,7,Never-married,Craft-repair,Own-child,White,Male,0,35,United-States,<=50K
51-60,Private,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,40,United-States,<=50K
61-70,State-gov,4,Widowed,Other-service,Not-in-family,Black,Female,2964,40,United-States,<=50K
31-40,Private,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,45,United-States,>50K
41-50,Federal-gov,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,40,United-States,<=50K
41-50,Private,4,Married-spouse-absent,Other-service,Unmarried,White,Female,0,30,United-States,<=50K
51-60,State-gov,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,16,United-States,<=50K
41-50,Local-gov,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,45,United-States,>50K
41-50,Self-emp-inc,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,54,United-States,>50K
41-50,Private,9,Divorced,Adm-clerical,Unmarried,White,Female,0,48,United-States,<=50K
25-30,Private,8,Married-civ-spouse,Other-service,Wife,White,Female,0,40,United-States,<=50K
51-60,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,35,United-States,>50K
41-50,Private,9,Divorced,Sales,Not-in-family,White,Female,0,52,United-States,<=50K
31-40,Private,10,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,18,United-States,<=50K
41-50,Self-emp-not-inc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,40,United-States,<=50K
41-50,Local-gov,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,40,United-States,<=50K
31-40,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,30,United-States,>50K
51-60,Private,14,Married-civ-spouse,Craft-repair,Husband,White,Male,0,45,United-States,>50K
31-40,Private,9,Never-married,Other-service,Own-child,White,Male,0,40,United-States,<=50K
41-50,Private,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,40,United-States,>50K
0-17,Private,7,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,24,United-States,<=50K
25-30,Private,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,40,United-States,<=50K
51-60,Private,10,Divorced,Other-service,Not-in-family,Black,Female,0,40,United-States,<=50K
41-50,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,0,40,United-States,<=50K
41-50,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,40,United-States,>50K
31-40,Private,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,45,United-States,>50K
31-40,Private,9,Married-civ-spouse,Other-service,Husband,White,Male,0,60,United-States,<=50K
41-50,Federal-gov,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,40,United-States,<=50K
71+,Private,9,Widowed,Other-service,Not-in-family,White,Female,0,13,United-States,<=50K
25-30,Private,12,Married-civ-spouse,Sales,Husband,White,Male,0,40,United-States,<=50K
31-40,Private,9,Married-civ-spouse,Transport-moving,Wife,White,Female,-1902,28,United-States,>50K
18-24,Self-emp-inc,10,Never-married,Craft-repair,Own-child,White,Male,0,20,United-States,<=50K
41-50,Private,9,Married-civ-spouse,Other-service,Husband,White,Male,0,40,United-States,<=50K
