age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital,hours-per-week,region,income
18-24,Federal-gov,10.0,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,0.0,40.0,United-States,0
61-70,Self-emp-inc,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,40.0,United-States,0
25-30,Private,10.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,40.0,United-States,0
31-40,Private,13.0,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,3411.0,47.0,United-States,0
31-40,Private,9.0,Married-civ-spouse,Sales,Wife,White,Female,0.0,30.0,United-States,0
41-50,Private,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,65.0,United-States,1
51-60,Private,4.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,40.0,United-States,0
18-24,Private,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,40.0,United-States,0
31-40,Self-emp-not-inc,10.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,60.0,United-States,0
31-40,Self-emp-inc,12.0,Married-civ-spouse,Sales,Husband,White,Male,-1887.0,40.0,United-States,1
41-50,Local-gov,13.0,Divorced,Prof-specialty,Unmarried,White,Female,0.0,50.0,United-States,0
71+,Self-emp-inc,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,-2392.0,60.0,United-States,1
51-60,Private,10.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,50.0,United-States,0
25-30,Private,8.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,40.0,United-States,0
51-60,Self-emp-not-inc,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,42.0,United-States,1
51-60,Private,3.0,Widowed,Machine-op-inspct,Unmarried,White,Female,0.0,40.0,United-States,0
61-70,Federal-gov,9.0,Widowed,Exec-managerial,Not-in-family,White,Female,0.0,40.0,United-States,0
51-60,Private,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,40.0,United-States,1
41-50,Private,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,50.0,United-States,0
31-40,Local-gov,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,45.0,United-States,0
41-50,Local-gov,14.0,Never-married,Prof-specialty,Not-in-family,Black,Female,-2258.0,35.0,United-States,0
51-60,Private,13.0,Divorced,Sales,Not-in-family,White,Female,0.0,8.0,United-States,0
41-50,Private,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,48.0,United-States,1
25-30,Private,13.0,Never-married,Exec-managerial,Own-child,White,Female,0.0,45.0,United-States,0
51-60,Private,7.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,40.0,United-States,0
18-24,Private,9.0,Never-married,Other-service,Not-in-family,White,Male,0.0,40.0,United-States,0
31-40,Private,14.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,45.0,United-States,1
41-50,Private,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,40.0,United-States,0
31-40,State-gov,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,80.0,United-States,0
0-17,Local-gov,7.0,Never-married,Craft-repair,Own-child,White,Male,0.0,35.0,United-States,0
51-60,Private,3.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,40.0,United-States,0
61-70,State-gov,4.0,Widowed,Other-service,Not-in-family,Black,Female,2964.0,40.0,United-States,0
31-40,Private,10.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024.0,45.0,United-States,1
41-50,Federal-gov,13.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,40.0,United-States,0
41-50,Private,4.0,Married-spouse-absent,Other-service,Unmarried,White,Female,0.0,30.0,United-States,0
51-60,State-gov,9.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,16.0,United-States,0
41-50,Local-gov,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,45.0,United-States,1
41-50,Self-emp-inc,10.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,54.0,United-States,1
41-50,Private,9.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,48.0,United-States,0
25-30,Private,8.0,Married-civ-spouse,Other-service,Wife,White,Female,0.0,40.0,United-States,0
51-60,Self-emp-inc,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999.0,35.0,United-States,1
41-50,Private,9.0,Divorced,Sales,Not-in-family,White,Female,0.0,52.0,United-States,0
31-40,Private,10.0,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0.0,18.0,United-States,0
41-50,Self-emp-not-inc,11.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,40.0,United-States,0
41-50,Local-gov,10.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,40.0,United-States,0
31-40,Private,9.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,30.0,United-States,1
51-60,Private,14.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,45.0,United-States,1
31-40,Private,9.0,Never-married,Other-service,Own-child,White,Male,0.0,40.0,United-States,0
41-50,Private,10.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,40.0,United-States,1
